법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
병점동,820,안화동마을주공5단지,84.87,2020,1,22,"22,000",2004
병점동,849,안화동마을주공7단지,59.92,2020,1,20,"19,000",2004
오산동,972,동탄역 반도유보라 아이비파크6.0,96.8094,2020,1,30,"98,500",2017
병점동,282,남수원두산,84.9,2020,1,31,"21,300",2000
병점동,868,병점임광그대가,59.76,2020,1,18,"19,400",2007
영천동,677,동탄역경남아너스빌,84.0254,2020,1,16,"59,500",2016
병점동,817,병점역센트럴허브시티,84.925,2020,1,31,"25,950",2004
반송동,135,솔빛마을쌍용예가,78.7193,2020,1,18,"38,800",2007
능동,1137,푸른마을두산위브,81.12,2020,1,29,"32,000",2007
봉담읍 수영리,679,우방아이유쉘2단지,59.9983,2020,1,30,"23,500",2017
능동,1131,자연앤데시앙,84.94,2020,1,31,"37,000",2008
능동,1132,동탄숲속마을 모아미래도1단지,84.13,2020,1,13,"34,700",2008
장지동,1009,레이크반도유보라아이비파크9.0,104.3613,2020,1,29,"48,100",2017
향남읍 발안리,295,발안마을주공,59.92,2020,1,31,"15,700",2003
병점동,821,느치미마을주공뜨란채3단지,84.91,2020,1,23,"22,700",2004
병점동,859,병점역에듀포레,84.99,2020,1,31,"23,800",2004
반송동,141,동탄센트럴포레스트,74.73,2020,1,25,"27,000",2009
반송동,100,시범다은마을삼성래미안,84.6098,2020,1,29,"50,250",2007
청계동,525,동탄역시범호반써밋,84.9909,2020,1,31,"70,000",2015
능동,1151,푸른마을모아미래도,59.039,2020,1,28,"26,700",2008
병점동,820,안화동마을주공5단지,84.87,2020,1,22,"23,000",2004
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,87.9844,2020,1,29,"30,000",2008
능동,1151,푸른마을모아미래도,59.039,2020,1,29,"24,500",2008
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,110.4018,2020,1,20,"31,000",2008
송산면 사강리,693-1,화성사강영도엘리시아,57.5,2020,1,22,"20,631",2019
반송동,75,동탄시범다은마을센트럴파크뷰,79.84,2020,1,19,"29,500",2008
병점동,359,대창,84.97,2020,1,20,"21,400",1997
반송동,140,솔빛마을서해그랑블,100.705,2020,1,31,"57,700",2007
능동,1134,포스코더샵2차,76.5336,2020,1,22,"33,000",2008
능동,1151,푸른마을모아미래도,59.039,2020,1,30,"27,000",2008
남양읍 신남리,25-9,기산베스트빌,84.9856,2020,1,23,"18,000",2001
안녕동,223,안녕동우방아이유쉘,84.7928,2020,1,22,"27,000",2017
능동,1151,푸른마을모아미래도,59.039,2020,1,31,"25,000",2008
오산동,1001,동탄역더샵센트럴시티2차,84.98,2020,1,22,"66,000",2018
병점동,485,한신,115.054,2020,1,21,"22,800",1999
병점동,872,병점역양우내안애,58.99,2020,1,21,"23,000",2016
병점동,872,병점역양우내안애,74.27,2020,1,18,"27,800",2016
병점동,872,병점역양우내안애,74.27,2020,1,18,"28,000",2016
병점동,872,병점역양우내안애,74.27,2020,1,18,"27,500",2016
병점동,872,병점역양우내안애,58.99,2020,1,17,"23,300",2016
능동,1151,푸른마을모아미래도,83.737,2020,1,17,"30,500",2008
반송동,215,나루마을신도브래뉴,96.4338,2020,1,13,"48,500",2007
능동,1132,동탄숲속마을 모아미래도1단지,84.96,2020,1,13,"34,000",2008
능동,1151,푸른마을모아미래도,59.192,2020,1,22,"25,000",2008
능동,1151,푸른마을모아미래도,83.737,2020,1,22,"29,200",2008
능동,1151,푸른마을모아미래도,83.737,2020,1,30,"29,200",2008
능동,1134,포스코더샵2차,76.5336,2020,1,28,"36,000",2008
청계동,541,롯데캐슬 알바트로스,101.8848,2020,1,12,"65,000",2015
봉담읍 상리,668,이편한세상신봉담,51.98,2020,1,19,"20,750",2019
청계동,538,동탄역센트럴푸르지오,59.4313,2020,1,21,"44,900",2015
반월동,860,신영통현대3차,134.127,2020,1,30,"29,000",2001
반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,2020,1,23,"40,400",2007
반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,84.65,2020,1,22,"54,900",2007
반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,76,2020,1,22,"51,700",2007
청계동,512,동탄역 시범우남퍼스트빌아파트,84.98,2020,1,21,"89,000",2015
능동,1134,포스코더샵2차,84.6199,2020,1,30,"38,000",2008
능동,1150,동탄푸른마을신일해피트리,59.05,2020,1,29,"25,000",2008
능동,1150,동탄푸른마을신일해피트리,83.21,2020,1,29,"28,000",2008
병점동,872,병점역양우내안애,74.27,2020,1,15,"25,500",2016
기산동,476,에스케이뷰파크2차,84.992,2020,1,18,"39,000",2017
반월동,883,반달마을두산위브2단지,84.927,2020,1,29,"31,000",2007
능동,1151,푸른마을모아미래도,59.039,2020,1,17,"25,850",2008
능동,1151,푸른마을모아미래도,83.737,2020,1,18,"28,000",2008
능동,1137,푸른마을두산위브,81.12,2020,1,30,"31,000",2007
병점동,859,병점역에듀포레,84.99,2020,1,13,"23,500",2004
영천동,892,동탄파크자이,99.6918,2020,1,4,"62,000",2018
반송동,106-7,서해더블루(106-7),108.1715,2020,1,28,"43,000",2010
병점동,359,대창,59.83,2020,1,20,"17,700",1997
능동,1039,서동탄역우남퍼스트빌아파트,84.2119,2020,1,22,"18,550",2002
향남읍 발안리,295,발안마을주공,59.92,2020,1,21,"14,000",2003
병점동,859,병점역에듀포레,75.99,2020,1,9,"20,900",2004
병점동,359,대창,59.83,2020,1,23,"16,800",1997
병점동,849,안화동마을주공7단지,59.92,2020,1,28,"19,500",2004
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,110.4018,2020,1,30,"40,500",2008
청계동,556,동탄역 더 힐,84.5202,2020,1,19,"45,800",2017
병점동,872,병점역양우내안애,74.27,2020,1,21,"30,000",2016
능동,1137,푸른마을두산위브,73.33,2020,1,28,"30,000",2007
반송동,79,시범다은마을우남퍼스트빌,67.0661,2020,1,21,"39,800",2007
능동,1282,서동탄역파크자이,76.9706,2020,1,29,"43,000",2018
송동,693,동탄2하우스디더레이크,74.88,2020,1,18,"59,700",2016
능동,1150,동탄푸른마을신일해피트리,59.87,2020,1,18,"26,500",2008
능동,1150,동탄푸른마을신일해피트리,84.88,2020,1,20,"27,500",2008
반월동,868,신영통현대2차,119.79,2020,1,31,"29,000",2002
능동,1109,능동마을이지더원,83.5573,2020,1,17,"31,500",2008
반월동,883,반달마을두산위브2단지,84.927,2020,1,13,"30,500",2007
기산동,466,신동탄푸르지오,101.8619,2020,1,23,"22,000",2005
남양읍 남양리,2001,대광파인밸리,59.65,2020,1,18,"14,000",2003
병점동,282,남수원두산,84.9,2020,1,17,"20,700",2000
진안동,908,진안골마을주공10단지,59.56,2020,1,31,"16,500",2004
반월동,865-1,신영통현대1차,84.99,2020,1,18,"26,900",2001
매송면 천천리,92,삼미A단지,42.145,2020,1,16,"6,650",1986
능동,1134,포스코더샵2차,84.3079,2020,1,22,"34,800",2008
능동,1134,포스코더샵2차,76.5336,2020,1,20,"34,000",2008
능동,1134,포스코더샵2차,117.5061,2020,1,17,"47,000",2008
능동,1150,동탄푸른마을신일해피트리,83.21,2020,1,18,"29,000",2008
병점동,858,정든마을신창2차,122.709,2020,1,16,"30,300",2004
능동,1150,동탄푸른마을신일해피트리,84.88,2020,1,21,"31,500",2008
반월동,868,신영통현대2차,119.79,2020,1,30,"28,500",2002
능동,1150,동탄푸른마을신일해피트리,59.05,2020,1,20,"25,000",2008
병점동,858,정든마을신창2차,101.983,2020,1,22,"29,700",2004
병점동,820,안화동마을주공5단지,75.79,2020,1,23,"22,500",2004
목동,479,동탄금강펜테리움센트럴파크Ⅳ,74.8709,2020,1,17,"42,000",2018
능동,1126,동탄숲속마을 능동역 리체 더 포레스트,87.9844,2020,1,8,"28,800",2008
