개소,공원종류,권역,공원명,위치,조성연도,  조성면적  ,관리기관,관리자 연락처,데이터기준일자
1,근린공원,1동탄,독재울공원, 능동 1084,2008,11841 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
2,근린공원,1동탄,개나리공원," 반송동 12, 28, 29",2008,14768 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
3,근린공원,1동탄,하늘빛공원," 석우동 50, 57",2008,10727 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
4,근린공원,1동탄,"동탄 구봉산공원(나래울, 코끼리)", 능동 1128,2008,99329 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
5,근린공원,1동탄,큰재봉공원, 석우동 45,2008,243926 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
6,근린공원,1동탄,동학산공원, 석우동 29-3,2008,60075 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
7,근린공원,1동탄,손바닥공원, 능동 1118,2008,13590 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
8,근린공원,1동탄,동탄13호 근린공원(초록공원), 석우동 21-8,2008,19679 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
9,근린공원,1동탄,동탄14호 근린공원(돌모루공원)," 석우동 4, 7-1, 17",2008,46917 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
10,근린공원,1동탄,능동생활도시숲공원," 능동 1121, 1124-1",2023,10792 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
11,어린이공원,1동탄,동탄1호 어린이공원,능동 1097-1,2008,1594 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
12,어린이공원,1동탄,동탄2호 어린이공원,능동 1166,2008,1515 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
13,어린이공원,1동탄,동탄6호 어린이공원,석우동 14-1,2008,2213 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
14,어린이공원,1동탄,능동지구 제3호 어린이공원,능동 1282-1,2018,1562 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
15,어린이공원,1동탄,능동지구 제4호 어린이공원,능동 1283-3,2018,2086 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
16,수변공원,1동탄,석우리천 공원," 석우동 45,45-1,-2,-3,-4,-5일원",2008,36758 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
17,쌈지공원,1동탄,석우동 쌈지공원,석우동 65일원,2014,1710 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
18,쌈지공원,1동탄,능동 쌈지공원,"능동 1221-1번지, 1014-2번지",2018,586 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
19,저류지공원,1동탄,인곡1 저류지 (저류지1호), 능동 1106,2008,8534 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
20,저류지공원,1동탄,능리 저류지 (저류지2호)," 능동 1172, -1, -2",2008,7193 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
21,저류지공원,1동탄,한반 저류지 (저류지3호), 석우동 1-8,2008,5837 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
22,경관광장,1동탄,미관광장 1호, 능동 1100-1,2008,384 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
23,경관광장,1동탄,미관광장 2호, 능동 1080 -1,2008,230 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
24,경관광장,1동탄,미관광장 3호, 능동 1081-2,2008,474 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
25,경관광장,1동탄,미관광장 4호, 능동 1115-2,2008,407 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
26,경관광장,1동탄,미관광장 5호, 능동 1153-13,2008,247 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
27,경관광장,1동탄,미관광장 6호, 반송동 38-1,2008,1176 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
28,경관광장,1동탄,미관광장 7호, 반송동 35-1,2008,726 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
29,경관광장,1동탄,미관광장 8호, 반송동 34-1,2008,749 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
30,경관광장,1동탄,미관광장 9호, 반송동 7-13,2008,781 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
31,경관광장,1동탄,미관광장 10호, 반송동 23,2008,975 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
32,경관광장,1동탄,미관광장 11호, 반송동 22-1,2008,708 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
33,경관광장,1동탄,미관광장 12호, 반송동 19-2,2008,789 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
34,경관광장,1동탄,미관광장 13호, 반송동 71-1,2008,272 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
35,경관광장,1동탄,미관광장 19호, 반송동 84-2,2008,772 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
36,경관광장,1동탄,미관광장 20호, 석우동 55-2,2008,256 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
37,경관광장,1동탄,미관광장 21호, 석우동 56-2,2008,272 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
38,경관광장,1동탄,미관광장 22호, 반송동 83-2,2008,401 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
39,경관광장,1동탄,미관광장 23호, 석우동 56-4 ,2008,184 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
40,경관광장,1동탄,미관광장 24호, 석우동 58-2,2008,208 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
41,경관광장,1동탄,미관광장 25호(북광장), 반송동 88-7,2008,5228 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
42,경관광장,1동탄,미관광장 26호(남광장), 반송동 104-7,2008,5419 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
43,경관광장,1동탄,미관광장 27호, 반송동 102-3,2008,381 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
44,경관광장,1동탄,미관광장 37호, 능동 1113-7,2008,240 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
45,경관광장,1동탄,미관광장 38호, 능동 1114-7,2008,208 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
46,경관광장,1동탄,미관광장 39호, 반송동 41-7,2008,137 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
47,경관광장,1동탄,미관광장 40호, 반송동 43-7,2008,159 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
